B;B;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;B;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;A;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;A;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;B;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;B;B;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;B;0;0;A;B;0;B;0;0;0;0;0;0;B;0;0;0
B;A;A;B;0;0;A;A;A;B;0;0;0;0;0;A;A;0;0;0
B;0;A;B;A;B;B;B;A;B;B;B;0;0;0;A;B;B;0;0
