U;V;V;U;U;U;U;U;0;0;0;0;0;0;0;0;V;V;V;V;V;V;V;V;V;V;0;0;0;0;0;0;0
U;V;V;V;V;V;0;0;0;0;0;0;0;0;0;0;V;V;V;U;U;V;V;V;V;V;0;0;0;0;0;0;0
U;V;V;V;V;V;0;0;0;0;0;0;0;0;0;0;V;V;V;U;U;V;V;V;V;V;0;0;0;0;0;0;0
U;V;V;V;V;V;0;0;0;0;0;0;0;0;0;0;V;V;V;V;V;V;V;V;V;V;0;0;0;0;0;0;0
U;V;V;V;V;V;0;0;0;0;0;0;0;0;0;0;V;V;V;V;V;V;V;U;U;0;0;0;0;0;0;0;0
U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;V;V;V;V;V;U;U;U;U;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S;S;S;S;S;U;U;U;U;U;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S;S;S;S;S;U;U;U;U;U;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S;S;S;S;S;U;U;U;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;S;S;S;S;S;U;U;U;0;0;0;0;0;0;0;0;0;0
