3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
3;3;3;j;3;3;3;3;3;j;3;3;j;3;3;3;3;0;0
3;3;3;j;3;3;3;3;3;j;3;3;j;3;3;3;3;0;0
3;j;3;j;3;3;3;3;3;j;3;3;j;3;3;3;3;0;0
3;j;3;j;3;3;3;3;3;j;3;3;j;j;j;j;3;0;0
j;j;j;j;3;3;3;3;3;j;3;3;j;3;3;3;3;0;0
3;3;3;j;3;3;3;j;j;j;j;j;j;3;3;3;3;0;0
3;3;3;3;3;3;3;3;3;3;3;3;j;3;3;3;3;0;0
3;3;3;3;3;3;3;3;3;3;j;j;j;j;j;j;3;0;0
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
3;3;j;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
j;j;j;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
3;3;j;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
3;3;j;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0
