~;~;~;~;~;+;+;+
~;~;~;~;~;+;+;+
~;~;~;~;~;~;+;+
~;~;~;~;~;~;+;+
~;~;~;~;~;~;+;+
~;~;~;~;+;+;+;+
~;~;~;~;+;+;+;+
~;~;~;~;+;+;+;+
~;~;~;~;+;+;+;+
~;~;~;~;+;+;+;+
~;~;~;+;+;+;+;+
~;~;~;+;+;+;`;`
~;~;~;+;+;+;`;`
~;~;~;+;+;`;`;`
~;~;~;+;+;`;`;`
~;~;~;+;+;`;`;`
~;~;~;+;`;`;`;`
~;~;~;`;`;`;`;`
~;~;~;`;`;`;`;`
~;~;~;`;`;`;`;`
~;~;~;`;`;`;`;`
~;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;+;+;+;+
`;`;`;`;+;+;+;+
`;`;`;`;+;+;+;+
`;`;`;+;+;+;+;+
`;`;`;+;+;+;+;+
`;`;`;+;+;+;+;+
`;`;`;+;+;+;+;+
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
~;~;~;`;`;`;`;`
~;~;~;`;`;`;`;`
~;~;~;~;`;`;`;`
~;~;~;~;`;`;`;`
~;~;~;~;`;`;`;`
~;~;~;~;`;`;`;`
~;~;~;`;`;`;`;`
~;~;`;`;`;`;`;`
~;~;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`
`;`;~;~;~;`;`;`
~;~;~;~;~;`;`;`
~;~;~;~;~;`;`;`
~;~;~;~;~;~;~;~
~;~;~;~;~;~;~;~
~;~;~;~;~;~;~;~
~;~;~;~;~;~;~;~
~;~;~;~;~;~;~;~
~;~;~;~;~;~;~;~
