7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;T;T
7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;7;T;T
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;T;T
T;T;T;T;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;T;T;T;T
T;T;T;T;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;T;T;T;T
T;T;T;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;T;T;T;T
T;T;T;T;T;T;T;T;T;7;7;7;7;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7;7;7;T;T;T;T
T;T;T;T;T;T;T;T;T;7;T;T;T;T;T;T;T;T;T;7;7;7;T;T;T;T;T;T;T;7;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;P;P;P;P;P
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;7;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;7;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;P;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;7;7;7
