0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;T;T;T;T;T;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R
T;T;T;T;T;T;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R
T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;T;T;T;T;R;R;R;R
T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;T;T;T;T;R;R;R;R
T;T;T;T;T;T;W;W;W;W;W;W;R;R;R;R;T;T;W;W;W;W;R;R
T;T;T;T;T;T;W;W;W;W;W;W;R;R;R;R;T;T;W;W;W;W;R;R
T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W
T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W
T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W
T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W
W;W;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;T;T;T;T;T;T
W;W;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;T;T;T;T;T;T
W;W;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;T;T;T;T;T;T
W;W;T;T;T;T;R;R;R;R;R;R;R;R;R;R;T;T;T;T;T;T;T;T
W;W;W;W;W;W;W;W;W;W;W;W;R;R;R;R;W;W;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;W;W;R;R;R;R;W;W;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W
W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;R;R;R;R
W;W;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;R;R;R;R
W;W;W;W;W;W;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R
W;W;W;W;W;W;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R
T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R
T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R
T;T;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W;W;W;T;T;T;T
T;T;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W;W;W;T;T;T;T
T;T;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W;W;W;T;T;T;T
T;T;R;R;R;R;R;R;R;R;T;T;W;W;W;W;W;W;W;W;T;T;T;T
T;T;R;R;R;R;R;R;T;T;T;T;W;W;W;W;W;W;T;T;T;T;T;T
T;T;R;R;R;R;R;R;T;T;T;T;W;W;W;W;W;W;T;T;T;T;T;T
T;T;R;R;R;R;R;R;T;T;T;T;R;R;R;R;R;R;T;T;T;T;T;T
T;T;R;R;R;R;R;R;T;T;T;T;R;R;R;R;R;R;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R
T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R
T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;R;R;R;R;R;R
T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;R;R;R;R;R;R
R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;R;R
R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;R;R
R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;W;W;W;W
R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;W;W;W;W
R;R;R;R;R;R;T;T;T;T;R;R;R;R;R;R;R;R;W;W;W;W;W;W
R;R;R;R;R;R;T;T;T;T;R;R;R;R;R;R;R;R;W;W;W;W;W;W
