Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;0;0;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;0;0;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;0;0;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;0;0;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;0;0;Y;Y;Y;Y
0;0;0;0;0;0;0;0;0;0;0;0;0;Y;Y;Y;Y
K;K;K;K;K;K;K;K;K;0;0;0;0;Y;Y;Y;Y
K;K;K;K;K;K;K;K;K;0;0;0;0;Y;Y;Y;Y
K;K;K;K;K;K;0;K;K;K;K;K;K;Y;Y;Y;Y
K;K;K;K;K;0;0;K;K;K;K;K;K;Y;Y;Y;Y
0;0;K;K;K;0;K;K;K;K;K;K;Y;Y;Y;Y;Y
0;0;K;K;0;0;K;K;K;K;K;K;Y;Y;Y;Y;Y
0;0;0;0;0;0;K;K;K;K;K;K;Y;Y;Y;Y;Y
0;0;0;0;0;0;0;0;K;K;K;K;Y;Y;Y;Y;Y
0;0;0;0;0;0;0;K;K;K;K;K;Y;Y;Y;Y;Y
0;0;0;0;0;0;0;K;K;K;K;K;Y;Y;Y;Y;Y
0;0;0;0;0;0;0;K;K;K;K;K;K;Y;Y;Y;Y
0;0;0;0;0;0;0;0;K;K;K;K;K;Y;Y;Y;Y
0;0;0;0;0;0;0;K;K;K;K;K;K;Y;Y;Y;Y
0;0;0;0;0;0;K;K;K;K;0;0;0;Y;Y;Y;Y
