C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
o;o;o;o;o;o;o;o;o;o;o;o;o;o;o
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
