w;w;0;0;0;0;0;0;0;0;0;0
w;w;0;0;0;0;0;0;0;0;0;0
w;w;0;0;0;0;0;0;0;0;0;0
w;w;0;0;0;0;0;0;0;0;0;0
w;w;0;0;0;0;0;0;0;0;0;0
w;w;0;0;0;0;0;0;0;0;0;0
d;d;d;d;0;0;0;0;0;0;0;0
d;d;0;d;0;0;0;0;0;0;0;0
h;d;0;0;0;0;0;0;0;0;0;0
d;d;d;0;d;d;0;0;0;0;0;0
d;d;0;d;d;d;0;0;0;0;0;0
d;0;d;d;0;d;0;0;0;0;0;0
d;d;d;d;d;d;0;h;h;0;0;0
0;0;0;0;d;d;0;h;h;0;0;0
h;h;h;d;d;d;d;h;0;0;0;0
d;h;h;d;0;d;d;d;0;d;0;0
d;d;d;d;d;0;d;d;0;d;0;0
d;d;0;d;d;d;d;d;d;d;0;0
d;0;d;d;d;d;d;d;d;d;0;0
d;d;d;0;d;0;d;d;d;0;0;0
d;d;d;0;d;0;d;d;d;d;0;d
d;d;d;d;d;0;d;d;d;d;0;d
d;0;0;d;d;0;0;0;0;d;0;d
d;d;d;d;d;d;d;d;d;d;d;d
h;d;d;0;d;d;d;d;d;d;d;d
h;d;0;0;d;0;0;d;d;d;h;h
h;d;d;0;d;0;0;d;d;h;h;h
0;0;0;0;0;0;0;d;d;h;h;h
d;d;d;0;0;0;0;d;d;h;h;h
d;d;d;d;d;d;d;d;d;d;d;d
0;0;0;d;d;d;d;d;d;d;d;d
0;0;0;d;d;d;d;d;d;d;d;d
d;d;d;d;d;d;d;d;d;d;d;d
0;0;0;d;d;d;d;d;d;d;d;d
d;d;d;d;d;d;d;0;d;d;d;d
0;0;d;d;d;d;d;0;d;d;d;d
0;0;d;d;d;d;d;0;0;0;0;0
