0;0;0;0;0;K;K;K;K;K;0;0;0;0;N;N;N;0;0;0;0;0;0;0;0;N;N;N;N;N;N;0;0
0;0;0;0;0;0;K;K;K;K;0;0;0;0;N;N;N;0;0;0;0;0;0;0;0;N;N;N;N;N;N;0;0
0;0;0;0;0;N;N;N;0;0;0;0;0;0;N;N;N;0;0;0;0;0;0;0;0;N;N;N;N;N;N;0;0
0;0;0;0;0;N;N;N;0;0;0;0;0;0;N;N;N;0;0;0;0;0;0;0;0;N;N;N;N;N;N;0;0
0;N;N;N;N;N;N;N;0;0;0;0;0;0;N;N;N;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;0
K;N;N;N;N;N;N;N;0;0;0;0;0;0;N;N;N;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;0
K;N;N;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;0
K;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;0
0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;0
0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;0
