U;U;U;U;U;U;U;U;U;U;U
U;U;U;U;U;U;U;U;U;U;U
S;S;S;S;S;S;S;U;U;U;U
S;S;S;S;S;S;S;S;S;S;S
S;S;S;S;S;S;S;S;S;S;S
S;S;S;S;S;S;S;S;S;S;S
S;S;S;S;S;S;S;S;S;S;S
V;V;V;V;S;S;S;S;S;S;S
V;V;V;V;S;S;S;S;S;S;S
V;V;V;V;S;S;S;V;V;V;S
V;V;V;V;U;U;V;V;V;V;V
V;V;V;V;U;U;V;V;V;V;V
V;V;V;U;U;U;V;V;V;V;V
U;U;U;U;U;U;V;V;V;V;V
U;U;U;U;U;U;U;V;V;V;V
U;U;U;U;U;U;U;U;U;U;U
U;U;U;U;U;U;U;U;U;U;U
S;S;S;S;S;S;S;S;S;U;U
S;S;S;S;S;S;S;S;S;U;U
S;S;S;S;S;S;S;S;S;U;U
S;S;S;0;0;S;S;S;S;S;S
0;0;0;0;0;S;S;S;S;S;S
0;0;0;0;0;0;S;S;S;S;S
0;0;0;0;0;0;S;S;S;S;S
0;0;0;0;0;0;S;S;S;S;S
