K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;K;K;K;K;K;K;K
K;J;J;J;J;J;J;J;K;K;K
K;J;J;J;J;J;J;J;K;K;K
K;J;J;J;J;J;J;J;K;K;K
J;J;J;J;J;J;J;J;K;K;K
J;J;J;J;J;J;J;0;0;0;0
J;J;J;J;J;J;J;0;0;0;0
J;J;0;0;J;J;J;0;0;0;0
0;0;0;0;J;J;J;0;0;0;0
0;0;0;0;0;J;J;0;0;0;0
