a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;0;0;0;a;a;a;0;0;0;0;5;5;5;0;0
a;a;a;a;a;a;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;0;0;0;0;a;a;a;0;0;0;0;5;5;5;0;0
a;a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;0;0;a;a;a;a;0;0;a;0;0;5;5;5;0;0
a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0
a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;0;0;0;a;a;a;a;0;0;0;0;0;0
a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;0;0;0;0;a;a;a;a;0;0;0;0;0;0
a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;0;0;a;a;a;a;0;0;0;0;0;0
a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0
a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0
a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;0;0;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0
a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;0;0;0;0;0;0;a;a;a;a;a;a;0;0;0;0;0;0
a;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;0;0;0;0;0;0;0;0;0;0;a;a;0;0;0;0;0;0
0;a;a;0;0;0;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;0;0;0;0;0;0;0;0;0;a;a;0;0;0;0;0;0
0;a;a;a;0;0;0;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0;0;0;a;a;0;0;0;0;0;0
0;a;a;a;a;a;a;0;0;0;0;0;0;a;a;a;a;a;a;a;a;a;a;a;a;0;0;0;0;0;0;0;a;0;0;0;0;0;0;0
