6;6;6;6;6;6;3;6;0;0;0;0
6;h;h;h;6;6;3;6;0;0;0;0
6;h;h;6;6;6;6;6;4;4;4;0
6;6;h;6;6;6;6;3;6;0;0;0
6;6;6;6;6;h;6;6;0;0;0;0
6;6;6;6;6;3;3;0;0;0;0;0
6;6;3;6;6;3;6;0;0;0;0;0
6;6;6;6;3;4;4;4;4;4;0;0
6;h;6;6;3;0;0;0;0;0;0;0
6;h;h;6;0;0;0;0;0;0;0;0
6;h;6;6;6;0;0;0;0;0;0;0
6;6;6;6;6;0;0;0;0;0;0;0
6;6;3;6;4;4;4;4;0;0;0;0
6;6;6;6;0;0;0;0;0;0;0;0
h;6;3;6;0;0;0;0;0;0;0;0
h;6;6;0;0;0;0;0;0;0;0;0
6;3;6;0;0;0;0;0;0;0;0;0
6;3;4;4;4;4;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0
